X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128
1.774177	1.407751	0.696335	0.268924	0.193421	0.238268	0.281927	0.293081	0.283066	0.317113	0.31876	0.266562	0.229972	0.182154	0.156687	0.158887	0.152042	0.180056	0.230177	0.268381	0.328869	0.316079	0.279248	0.307866	0.291743	0.248544	0.224653	0.36793	0.802188	1.448062	1.668257	1.229548	0.604337	0.270187	0.190181	0.222575	0.266273	0.255929	0.272647	0.320427	0.311689	0.259292	0.212709	0.181829	0.15896	0.160955	0.145166	0.169467	0.219195	0.276788	0.309576	0.309073	0.289747	0.289395	0.289923	0.232798	0.228612	0.401847	0.863805	1.46806	1.642263	1.170018	0.582047	0.257041	0.205878	0.237627	0.268255	0.282821	0.294706	0.313765	0.307407	0.247199	0.209084	0.166372	0.156279	0.163824	0.156492	0.19343	0.251035	0.311096	0.352498	0.354362	0.318444	0.313609	0.30831	0.25029	0.253608	0.428505	0.944477	1.588661	1.707216	1.171035	0.545671	0.24622	0.226424	0.280942	0.281966	0.278961	0.308582	0.340431	0.317776	0.266325	0.219044	0.166794	0.152656	0.160547	0.15795	0.215037	0.263551	0.32033	0.362441	0.352205	0.290382	0.293716	0.295677	0.250623	0.257434	0.475696	0.998073	1.592383	1.62528	1.038939	0.448601	0.195017	0.193538	0.253487	0.262795	0.255624
1.693393	1.36733	0.692107	0.294415	0.188313	0.214734	0.264284	0.264643	0.290156	0.311048	0.326826	0.286067	0.221608	0.190658	0.156428	0.175283	0.163313	0.182879	0.233603	0.289987	0.344833	0.338671	0.305857	0.298339	0.284118	0.23707	0.216978	0.355369	0.783693	1.402069	1.62971	1.241292	0.600067	0.275904	0.18739	0.230865	0.263233	0.260755	0.275648	0.298377	0.324081	0.264047	0.217546	0.179413	0.161845	0.161116	0.160683	0.185956	0.226933	0.261569	0.323447	0.318753	0.295573	0.303876	0.296852	0.247351	0.224564	0.36547	0.834354	1.49309	1.694796	1.174526	0.573133	0.245209	0.200105	0.260856	0.279542	0.271092	0.288714	0.323186	0.303493	0.251687	0.211921	0.175409	0.162813	0.159323	0.159567	0.216295	0.275596	0.305807	0.363369	0.363477	0.316474	0.296439	0.295492	0.24805	0.260889	0.456376	0.921022	1.545216	1.668657	1.144966	0.558147	0.263587	0.224468	0.260843	0.272272	0.245024	0.284965	0.325939	0.321682	0.262644	0.238178	0.192569	0.180884	0.172283	0.189659	0.233185	0.281874	0.333629	0.353407	0.334542	0.278327	0.269874	0.257676	0.252014	0.300837	0.520213	0.973904	1.539786	1.573775	1.026988	0.482202	0.243696	0.201519	0.229243	0.233532	0.231656
1.723298	1.384202	0.711608	0.288692	0.195629	0.218974	0.267858	0.264427	0.280385	0.314966	0.325085	0.280759	0.215558	0.181486	0.172083	0.174989	0.174019	0.186049	0.246291	0.295764	0.340588	0.347784	0.305696	0.302608	0.291094	0.258349	0.227518	0.335832	0.767336	1.440825	1.724663	1.278262	0.617653	0.265394	0.193984	0.241492	0.277361	0.25301	0.26081	0.298106	0.309753	0.263107	0.226594	0.196322	0.16368	0.16666	0.181318	0.208476	0.24409	0.280007	0.319883	0.317038	0.300428	0.279589	0.292062	0.248153	0.252577	0.410324	0.836416	1.449119	1.634481	1.191045	0.608087	0.295728	0.229811	0.246889	0.252629	0.249803	0.28696	0.308896	0.328067	0.280215	0.238016	0.214286	0.195995	0.198	0.209947	0.24088	0.275376	0.315607	0.352226	0.338964	0.30386	0.271857	0.26803	0.255551	0.314705	0.494394	0.939801	1.500614	1.606032	1.138791	0.586968	0.313991	0.25929	0.233305	0.233576	0.229892	0.261929	0.296108	0.315983	0.285516	0.269388	0.235828	0.221219	0.21599	0.239913	0.258989	0.304888	0.315577	0.335099	0.308621	0.281413	0.247448	0.247814	0.274332	0.352149	0.540266	0.982374	1.563259	1.647286	1.081364	0.53265	0.31286	0.248479	0.227749	0.207988	0.215845
1.694415	1.402899	0.71967	0.303829	0.209682	0.232782	0.262059	0.254493	0.267309	0.321895	0.331517	0.281957	0.24887	0.203111	0.187865	0.187024	0.186198	0.222428	0.271836	0.306603	0.350077	0.343361	0.298091	0.272846	0.278504	0.246785	0.255703	0.394031	0.789955	1.404239	1.635697	1.250087	0.64329	0.326864	0.23322	0.230036	0.249274	0.227449	0.259617	0.303645	0.322404	0.29097	0.257986	0.214953	0.187661	0.195808	0.202889	0.238958	0.277192	0.294727	0.321749	0.309142	0.27969	0.262312	0.267501	0.255016	0.295075	0.447814	0.857928	1.428911	1.637145	1.227258	0.649139	0.354764	0.262216	0.238932	0.223129	0.234438	0.260096	0.295844	0.31961	0.284897	0.27644	0.241835	0.234001	0.229524	0.235436	0.261945	0.295751	0.306762	0.329419	0.322357	0.278817	0.248983	0.251498	0.308756	0.385797	0.544186	0.935794	1.523139	1.646064	1.169894	0.607301	0.37967	0.311905	0.2598	0.213788	0.208798	0.243532	0.28577	0.300164	0.285803	0.291273	0.276696	0.267206	0.272521	0.273247	0.306895	0.316331	0.310163	0.309425	0.2911	0.25017	0.226638	0.260907	0.331611	0.429704	0.614258	0.998393	1.512136	1.560112	1.061544	0.608701	0.418871	0.328698	0.225363	0.186704	0.174758
1.640942	1.349923	0.735962	0.362261	0.245785	0.224374	0.231697	0.2222	0.255771	0.305693	0.328162	0.303929	0.278058	0.24468	0.205421	0.221635	0.228961	0.251931	0.294018	0.317228	0.332496	0.318372	0.28387	0.258156	0.244268	0.260199	0.289603	0.431127	0.802542	1.399212	1.66056	1.285634	0.694633	0.377106	0.280151	0.224907	0.227808	0.230482	0.254887	0.293342	0.310296	0.298268	0.279072	0.251366	0.227044	0.230451	0.23387	0.25599	0.282097	0.293438	0.30034	0.29533	0.272479	0.245637	0.249698	0.285536	0.35509	0.492144	0.870046	1.441036	1.666387	1.239815	0.702348	0.431227	0.329781	0.28227	0.213209	0.212573	0.239747	0.280491	0.297974	0.296074	0.313247	0.280477	0.286834	0.291185	0.290567	0.301798	0.315293	0.300904	0.312157	0.301751	0.24879	0.218869	0.244744	0.339853	0.466702	0.637593	0.958143	1.431235	1.539077	1.142369	0.705113	0.506241	0.392888	0.270948	0.181578	0.174284	0.215345	0.247671	0.2737	0.298107	0.298276	0.310977	0.29633	0.301058	0.305494	0.315316	0.315403	0.29858	0.279629	0.254883	0.214164	0.203894	0.248144	0.402071	0.576815	0.743323	1.007421	1.377048	1.420954	1.059949	0.739715	0.579298	0.423371	0.24979	0.161963	0.172384
1.678874	1.397744	0.785143	0.42241	0.301533	0.245531	0.218306	0.217648	0.245773	0.281943	0.307501	0.312809	0.298199	0.283446	0.257605	0.263987	0.261333	0.279902	0.314461	0.322591	0.320219	0.301728	0.273793	0.238058	0.245324	0.291409	0.371454	0.495157	0.829721	1.401111	1.671249	1.309247	0.745119	0.462848	0.350198	0.268995	0.234427	0.201777	0.234886	0.275443	0.283902	0.30269	0.311618	0.291317	0.270966	0.286805	0.277688	0.300971	0.295447	0.295869	0.288616	0.275183	0.238574	0.221783	0.236175	0.331685	0.458237	0.608494	0.881207	1.353848	1.517766	1.204807	0.790258	0.581198	0.428946	0.29334	0.196698	0.169858	0.214766	0.22723	0.258685	0.295045	0.308639	0.326464	0.307562	0.304847	0.321903	0.310456	0.307901	0.294323	0.278806	0.253064	0.230491	0.199839	0.233369	0.387199	0.58561	0.734789	0.965677	1.282283	1.418212	1.116819	0.84394	0.698532	0.508333	0.294949	0.185679	0.178915	0.200888	0.227654	0.250487	0.273063	0.276043	0.283511	0.298992	0.29566	0.295987	0.287148	0.275516	0.27279	0.245203	0.227718	0.225526	0.195283	0.278517	0.501301	0.744249	0.841977	1.008623	1.233649	1.3068	1.047013	0.840683	0.757038	0.559494	0.332848	0.199227	0.171958
1.638691	1.377779	0.820905	0.513522	0.395335	0.296321	0.221648	0.189506	0.228905	0.260264	0.276391	0.305829	0.307639	0.315198	0.312796	0.308031	0.303673	0.313182	0.317339	0.309642	0.288804	0.2557	0.241051	0.210112	0.232235	0.340686	0.483562	0.64042	0.893986	1.301886	1.517062	1.255561	0.829192	0.626186	0.470547	0.296539	0.197774	0.170613	0.201442	0.23705	0.261267	0.278033	0.285122	0.299067	0.306677	0.288697	0.298948	0.292605	0.282992	0.280746	0.267496	0.23774	0.225143	0.190706	0.224978	0.36248	0.579698	0.743818	0.940872	1.244397	1.428915	1.178668	0.888841	0.749896	0.562027	0.339821	0.186805	0.181944	0.191436	0.201353	0.221075	0.246595	0.261398	0.285586	0.285473	0.283553	0.296345	0.28528	0.270582	0.2643	0.23876	0.236535	0.221726	0.205422	0.274658	0.496389	0.750438	0.845511	0.960712	1.118762	1.249417	1.068473	0.916639	0.844849	0.669729	0.413177	0.223273	0.190787	0.190716	0.180799	0.193833	0.216288	0.23598	0.25218	0.254378	0.255705	0.252441	0.248293	0.236223	0.233518	0.202435	0.205525	0.215287	0.248098	0.384001	0.634892	0.903119	0.966676	0.949322	1.017315	1.057894	0.97354	0.948809	0.942363	0.721391	0.463304	0.281849	0.202734
1.486203	1.295992	0.887444	0.677255	0.540238	0.353775	0.207104	0.14123	0.201606	0.239556	0.255075	0.284564	0.292432	0.302128	0.311301	0.317852	0.304441	0.30697	0.302606	0.282186	0.260455	0.242307	0.228801	0.199688	0.222723	0.376259	0.610307	0.797867	0.953762	1.216117	1.415621	1.229829	0.964	0.803528	0.635594	0.371797	0.206978	0.183173	0.206561	0.210372	0.225601	0.246163	0.256234	0.269589	0.286566	0.276629	0.281822	0.2768	0.26245	0.246938	0.229134	0.219697	0.228386	0.208059	0.263182	0.484185	0.726774	0.872548	0.960699	1.141999	1.284164	1.123142	0.966022	0.903213	0.751923	0.474307	0.250949	0.206098	0.200886	0.180487	0.183973	0.210401	0.218325	0.247749	0.256722	0.253244	0.25662	0.25495	0.226749	0.223166	0.20425	0.194903	0.206443	0.253629	0.389197	0.642736	0.903769	0.98674	0.940927	0.94383	0.978994	0.960888	1.031761	1.044131	0.822977	0.558922	0.336868	0.237632	0.188241	0.162237	0.176631	0.189953	0.195381	0.222043	0.230408	0.235754	0.237055	0.2277	0.211295	0.206564	0.193063	0.194539	0.245705	0.350934	0.513006	0.781593	1.045919	1.091762	0.940166	0.799295	0.791267	0.879469	1.073226	1.118413	0.89543	0.601776	0.431291	0.298564
1.378005	1.238921	0.99097	0.855739	0.732275	0.469924	0.252338	0.181951	0.210064	0.205439	0.215312	0.228579	0.241406	0.257754	0.283495	0.306266	0.286072	0.276187	0.254367	0.256156	0.223801	0.217474	0.227322	0.235745	0.286475	0.518869	0.790016	0.927971	0.970793	1.09233	1.212225	1.110607	0.990319	0.968583	0.814894	0.536731	0.293055	0.211255	0.193204	0.166977	0.182485	0.210406	0.212823	0.229749	0.245697	0.248224	0.251714	0.24743	0.228928	0.226947	0.196762	0.198302	0.213817	0.268245	0.368608	0.622975	0.897872	1.022045	0.980482	0.96209	0.98092	0.977737	1.045241	1.091762	0.911064	0.61752	0.379583	0.251228	0.194182	0.171518	0.17693	0.185797	0.196114	0.224066	0.232935	0.239075	0.246597	0.225813	0.216987	0.207972	0.198112	0.196913	0.248781	0.357551	0.518308	0.763851	1.03956	1.160985	0.976935	0.770812	0.732296	0.8312	1.081726	1.189608	0.972203	0.692572	0.503823	0.355299	0.248762	0.209531	0.197067	0.196114	0.201712	0.206372	0.210062	0.201111	0.208725	0.20401	0.201503	0.218232	0.246712	0.272143	0.395064	0.562525	0.696099	0.900742	1.134855	1.085906	0.880677	0.6165	0.603389	0.752946	1.043461	1.174366	0.995317	0.791095	0.659292	0.502366
1.120254	1.068791	0.997619	1.017669	0.922737	0.635086	0.375884	0.243012	0.198063	0.178975	0.172885	0.18554	0.210055	0.222439	0.243717	0.239113	0.253716	0.24524	0.224394	0.220739	0.19934	0.190836	0.214577	0.290912	0.419951	0.66472	0.944352	1.087348	1.026189	0.925054	0.905713	0.945971	1.055104	1.152716	0.98665	0.678859	0.434215	0.297946	0.186647	0.16056	0.180704	0.191003	0.197095	0.210605	0.221494	0.224553	0.231878	0.241378	0.222202	0.211081	0.210511	0.215673	0.255461	0.373896	0.535364	0.760246	1.037123	1.163345	1.031477	0.791594	0.728225	0.823053	1.09052	1.237301	1.042194	0.744059	0.541813	0.401069	0.296539	0.22319	0.219518	0.207156	0.192411	0.199263	0.205684	0.189764	0.216353	0.210411	0.196535	0.211535	0.250372	0.287696	0.416859	0.578418	0.71805	0.888394	1.121716	1.178314	0.897017	0.626686	0.582238	0.706166	1.004644	1.157534	1.030634	0.845246	0.741902	0.596148	0.443464	0.314815	0.265133	0.213958	0.198151	0.193928	0.18825	0.186425	0.193165	0.186869	0.201034	0.230133	0.30954	0.432036	0.59561	0.784048	0.947122	1.030509	1.081485	1.042108	0.749051	0.510308	0.476705	0.627577	0.916124	1.096113	1.073457	1.025982	0.919261	0.74648
