X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78
0.962322	1.014711	1.056633	1.075544	1.022392	0.976138	1.011593	1.050519	1.023549	1.092723	1.126264	1.050596	1.02474	0.962254	0.987514	0.963835	0.95516	0.955833	0.91843	0.976344	1.011618	1.020185	1.02202	1.013938	1.047942	1.012824	1.002804	0.994714	0.98623	0.976942	0.973863	0.976202	0.977736	1.036306	1.03062	1.055277	1.026212	0.967287	0.939395	0.988022	1.026545	1.011536	0.97264	0.941219	1.021332	1.029485	1.06748	1.068106	0.997477	0.900934	1.018768	0.970192	0.914869	0.888967	0.945235	0.959596	1.041793	1.023063	1.105336	1.092608	1.10737	1.084225	0.992576	0.937399	0.873941	0.885029	0.902411	0.988317	0.913652	0.908645	1.000904	1.091942	1.066245	0.99433	0.9957	0.94244	0.981922	1.02553
1.049169	1.007961	1.006748	1.016056	0.974014	1.031662	1.068458	0.989367	0.968542	1.015109	1.083634	1.096519	1.09804	1.097848	1.012992	1.019052	0.95927	0.944622	0.901001	0.851405	0.836817	0.847673	0.874227	0.895472	0.931867	0.935382	1.028974	1.113546	1.081837	1.089952	1.041301	1.049898	1.099809	1.052407	0.970955	1.048373	1.012891	0.999561	1.026414	1.035265	1.026447	1.007266	1.006355	0.986252	0.986471	0.984278	0.994067	1.018461	1.075226	1.059163	1.005033	0.984979	1.053869	1.074293	1.013824	0.980977	0.960136	0.902731	0.894365	0.83588	0.851353	0.904811	0.927273	1.044339	1.06562	1.056843	1.007472	0.970118	0.979345	1.046882	1.050557	1.006451	1.052471	1.066494	0.954064	0.984004	0.988802	1.02801
1.061623	1.075243	0.971925	0.990959	1.026318	1.061188	1.032592	0.986969	0.999515	1.022523	1.039778	1.102531	1.158225	1.099376	1.041303	1.003616	0.931817	0.925152	0.857648	0.865452	0.848109	0.830724	0.825824	0.849319	0.923499	0.953639	0.971229	1.001611	1.049906	1.133161	1.131294	1.197744	1.06726	1.046846	1.025326	0.964803	0.970263	1.039531	1.039343	1.010328	0.937229	0.967736	1.016633	1.037773	1.00823	0.890142	1.025751	1.037132	0.974796	1.109383	1.185666	1.132996	1.030789	0.885775	0.887574	0.868988	0.949984	0.907516	0.972129	0.931688	0.942577	0.897023	0.888805	0.927238	0.935003	0.945925	1.043488	1.142111	1.126663	1.073005	1.030284	1.062897	0.995363	0.960245	1.052537	1.009824	1.002507	0.92204
1.006915	1.025111	1.03901	1.037181	1.042773	1.04866	0.991651	1.034376	1.023623	1.026948	1.047219	1.026804	1.018644	0.95574	1.021908	0.986117	0.959923	0.930453	0.869328	0.847115	0.822695	0.802138	0.834093	0.820237	0.82624	0.880414	0.984166	1.077166	1.076554	1.051907	1.009369	1.071045	1.145882	1.11256	0.984391	1.009257	1.035059	1.023699	1.023712	0.990314	1.005286	0.957135	1.001686	0.92954	1.008686	0.988165	1.015637	1.0243	1.054241	1.073609	1.023696	0.980831	1.045595	0.994983	0.969969	0.907997	0.835276	0.782234	0.79542	0.792281	0.781525	0.797342	0.881147	0.932738	0.98298	0.992465	1.039075	1.017892	1.069027	1.122224	1.04496	0.9325	0.954426	0.948967	0.966653	1.033538	0.988916	0.956402
0.993272	1.019407	1.038923	1.085334	0.999631	0.966522	1.059988	1.047178	1.086284	1.123388	1.019173	0.946718	0.936969	0.944684	0.865169	0.821108	0.844875	0.816316	0.832649	0.891223	0.935391	0.906006	0.899503	0.855853	0.882369	0.879033	0.85146	0.825629	0.859251	0.969642	1.03399	1.006387	1.016309	1.05365	1.122111	1.055691	1.019379	1.050681	0.945166	1.016358	1.011049	1.02858	0.944451	0.937179	0.999327	0.972104	1.106124	1.096536	0.97315	0.903698	0.976824	0.96068	0.848092	0.815169	0.814422	0.832431	0.882407	0.887305	0.874379	0.840768	0.850036	0.829478	0.824897	0.784419	0.837245	0.920797	0.942626	0.993139	0.953716	0.926829	1.06425	1.027561	1.00075	0.977609	0.960294	0.914002	1.007946	0.995503
0.983354	0.9931	1.015764	1.010609	1.011825	0.965335	0.958531	1.057948	1.05244	0.946776	0.979925	0.967565	0.874882	0.771867	0.809502	0.841086	0.858681	0.866407	0.77278	0.786467	0.732305	0.762948	0.754328	0.742372	0.76487	0.822756	0.85783	0.889904	0.812267	0.762854	0.763936	0.931678	0.983667	1.029135	1.036193	1.119941	1.043853	0.955003	0.977065	0.957193	1.051549	0.997835	1.000277	0.937638	1.053096	1.107777	1.071227	0.985654	1.032647	0.944409	0.849115	0.753772	0.83228	0.873687	0.913473	0.872774	0.814178	0.86884	0.802409	0.806497	0.79859	0.849652	0.870271	0.864984	0.84163	0.793923	0.749833	0.810298	0.893322	0.93103	1.005011	1.0355	1.072714	1.018817	1.008015	0.943335	0.954741	1.043679
1.076718	1.02009	1.021958	0.927953	1.097233	0.992725	1.04827	0.99553	0.962399	0.977925	0.893735	0.84792	0.838159	0.881613	0.855613	0.784362	0.735504	0.717401	0.796631	0.813627	0.86476	0.869251	0.878152	0.839492	0.785228	0.751215	0.684536	0.691732	0.805265	0.876761	0.881503	0.813987	0.855167	0.974901	1.04338	1.016988	1.038966	1.0109	0.984365	1.036535	0.964507	1.00441	1.03107	0.989896	1.046016	1.048741	0.995848	1.026669	0.968087	0.871549	0.891379	0.893547	0.90487	0.77522	0.746267	0.751574	0.752097	0.801996	0.796613	0.841937	0.827523	0.750918	0.740693	0.70855	0.746565	0.736838	0.796857	0.765693	0.796513	0.905166	0.984972	0.954684	0.97368	1.036516	0.972568	0.954665	0.965341	0.97333
1.121723	1.029789	0.997834	0.978328	1.019106	1.076364	1.018204	0.948386	0.979087	0.901187	0.788543	0.869464	0.926903	0.829191	0.80343	0.861067	0.918806	0.954289	0.855811	0.845839	0.810093	0.784773	0.790969	0.818106	0.850458	0.917	0.925202	0.864657	0.783481	0.733893	0.829481	0.88077	0.806038	0.815727	0.939449	0.958031	1.004976	1.117475	1.016207	1.02214	0.924892	0.989554	1.039291	1.061869	1.055124	0.928352	1.015825	0.847543	0.808004	0.891591	0.949141	0.853842	0.809511	0.830129	0.889195	0.903863	0.924353	0.896617	0.882562	0.911245	0.867768	0.86723	0.856616	0.816598	0.759041	0.714252	0.75622	0.870912	0.868052	0.817573	0.811829	0.939181	0.949747	1.025039	1.057196	0.980853	1.024487	0.933822
1.041232	1.094961	0.995393	0.986389	1.001545	1.090755	0.934271	0.977333	0.87621	0.877523	0.910307	0.868195	0.768832	0.860446	0.955223	0.926715	0.82584	0.734684	0.714412	0.740639	0.763817	0.753468	0.795145	0.731698	0.723126	0.704845	0.774861	0.900219	0.950595	0.849856	0.751878	0.768646	0.852365	0.857482	0.839119	0.963183	1.035113	1.022551	1.056342	0.941514	1.002298	0.923304	1.073884	1.052355	0.953732	0.957042	0.889601	0.8366	0.915577	0.857144	0.807877	0.849011	0.947095	0.984135	0.90577	0.781553	0.726154	0.772076	0.726362	0.730322	0.753525	0.751759	0.76761	0.848719	0.911462	0.868877	0.796931	0.758541	0.820948	0.880027	0.746002	0.855971	0.964632	0.949036	0.970784	1.016289	0.999726	0.976743
0.996666	1.03845	1.07187	0.992724	1.049339	0.946275	1.006603	0.863129	0.772513	0.870033	0.868163	0.748403	0.901981	0.989337	0.853618	0.709725	0.752738	0.813314	0.857007	0.896899	0.842249	0.880916	0.881363	0.888985	0.815731	0.803352	0.755543	0.720666	0.780603	0.882158	0.928226	0.759716	0.753973	0.900276	0.820051	0.810486	0.954742	0.955554	1.027162	1.006581	0.934017	1.026557	0.96319	0.946172	0.972723	0.862091	0.847607	0.884215	0.865902	0.803262	0.938873	0.937905	0.884223	0.765678	0.734106	0.788895	0.87623	0.89048	0.905631	0.893816	0.901793	0.861673	0.793501	0.743548	0.763715	0.823789	0.901235	0.832929	0.739771	0.797828	0.884734	0.732048	0.793401	0.922879	0.907839	1.030364	0.95725	0.952328
